Selectable Destination,Country,Notes,Standard or Customer Specific,Lab,Concat,Airport Code 1,Airport Code 2,Airport Code 3,Min,Per Lb,Weight Break,Cost per km Over 80km,Special Notes
Australia - Adelaide,Australia,Door to Door,Standard,SCAZ,Australia - AdelaideSCAZ,ADL,,,2950,10.5,280.95238095238096,,"Volumn pricing applies over 800 lbs, email for quote"
Australia - Adelaide,Australia,Door to Door,Standard,SCCA,Australia - AdelaideSCCA,ADL,,,2450,8.5,288.2352941176471,,"Volumn pricing applies over 800 lbs, email for quote"
Australia - Adelaide,Australia,Door to Door,Standard,SCCO,Australia - AdelaideSCCO,ADL,,,2950,10.5,280.95238095238096,,"Volumn pricing applies over 800 lbs, email for quote"
Australia - Adelaide,Australia,Door to Door,Standard,SCFL,Australia - AdelaideSCFL,ADL,,,2450,8.5,288.2352941176471,,"Volumn pricing applies over 800 lbs, email for quote"
Australia - Adelaide,Australia,Door to Door,Standard,SCIL,Australia - AdelaideSCIL,ADL,,,2450,8.5,288.2352941176471,,"Volumn pricing applies over 800 lbs, email for quote"
Australia - Adelaide,Australia,Door to Door,Standard,SCPA,Australia - AdelaideSCPA,ADL,,,3350,10.5,319.04761904761904,,"Volumn pricing applies over 800 lbs, email for quote"
Australia - Adelaide,Australia,Door to Door,Standard,SCTX,Australia - AdelaideSCTX,ADL,,,2450,8.5,288.2352941176471,,"Volumn pricing applies over 800 lbs, email for quote"
Australia - Melbourne,Australia,Door to Door,Standard,SCAZ,Australia - MelbourneSCAZ,MEL,,,2450,8.5,288.2352941176471,,"Volumn pricing applies over 800 lbs, email for quote"
Australia - Melbourne,Australia,Door to Door,Standard,SCCA,Australia - MelbourneSCCA,MEL,,,2450,8.5,288.2352941176471,,"Volumn pricing applies over 800 lbs, email for quote"
Australia - Melbourne,Australia,Door to Door,Standard,SCCO,Australia - MelbourneSCCO,MEL,,,2450,8.5,288.2352941176471,,"Volumn pricing applies over 800 lbs, email for quote"
