Tissue Code,Description,Unit Weight (lb),Medium,Large,X-Large,Small Airtray,Airtray,Notes
ARM01,Arm Whole,12,0,7,10,0,0,
ARM02,Mid-Humerus to Fingertip,5,6,10,15,0,0,
ARM03,Hand w/ Forearm,4,6,12,18,0,0,
ARM04,Hand w/ Mid-Radius and Ulna,4,6,12,18,0,0,
ARM05,Elbow,4,6,12,18,0,0,
ARTI01,Knee Cartilage,1,9,15,20,0,0,
BEACH CHAIR,Science Care Beach Chair - per unit per day,45,0,1,2,0,0,
BEVI03,Bust Torso w/ Cephalus (Mid-Clavicle)- Eviscerated,26,0,1,2,0,0,
BEVI04,Bust Torso w/ Cephalus (T4/T5)- Eviscerated,20,0,2,3,0,0,
BEVI05,Bust Torso w/ Whole Arms- Eviscerated,38,1,1,2,0,0,
BEVI06,Bust Torso w/ Cephalus (Full Clavicle) - Eviscerated,26,0,1,2,0,0,
BEVI07,"Bust Torso w/ Cephalus, Shoulders- Eviscerated",41,0,1,2,0,0,
BEVI15,"Bust Torso w/ Cephalus, Whole Arms- Eviscerated",50,0,1,2,0,0,
BEVI16,Bust Torso w/ Shoulders- Eviscerated,31,0,1,2,0,0,
BINT03,Bust Torso w/ Cephalus (Mid-Clavicle) - Intact,35,0,1,2,0,0,
BINT05,Bust Torso w/ Whole Arms - Intact,55,0,1,2,0,0,
BINT06,Bust Torso w/ Cephalus (Full Clavicle) - Intact,35,0,1,2,0,0,
BINT07,"Bust Torso w/ Cephalus, Shoulders- Intact",46,0,1,2,0,0,
BINT14,"Bust Torso w/ Cephalus, Whole Arms, Minus Hands Mid-Radius and Ulna- Intact",60,0,1,2,0,0,
BINT15,"Bust Torso w/ Cephalus, Whole Arms- Intact",66,0,1,2,0,0,
BINT16,Bust Torso w/ Shoulders- Intact,35,0,1,2,0,0,
BONE01,Tibia,2,9,15,20,0,0,
BONE03,Femur,3,7,12,18,0,0,
BONE04,Proximal Femur,8,4,8,14,0,0,
BONE06,Humerus,2,9,15,20,0,0,
BONE07,Ribs,1,12,24,28,0,0,
BONE09,Bone Other,2,9,15,20,0,0,
BONE10,Sternum,2,5,10,17,0,0,
BONE11,Clavicle,1,12,24,28,0,0,
BONE12,Scapula,1,12,24,28,0,0,
BONE13,Tooth,1,40,70,115,0,0,
BOVEY,Science Care Bovie - per unit per day,10,2,4,8,0,0,
CADV02,Embalmed Cadaver,300,0,0,0,0,1,
CADV03,Whole Cadaver,300,0,0,0,0,1,
CEPH02,Cephalus w/ Cervical Spine (T2/T3),12,3,6,10,0,0,
CEPH04,Cephalus w/ Full Neck Anatomy (C7/T1),11,4,8,12,0,0,
CEPH05,Temporal Bone,1,17,25,35,0,0,
CEPH06,Cephalus Sagittally Cut,6,6,14,20,0,0,
CEPH07,Cephalus- Embalmed (C7/T1),11,4,8,12,0,0,
CEPH08,Cephalus- Red/Blue (C7/T1),11,4,8,12,0,0,
CEPH09,"Cephalus- Embalmed, Red/Blue (C7/T1)",11,4,8,12,0,0,
CEPH10,Cephalus- Formalin Flushed (C7/T1),11,4,8,12,0,0,
CEPH11,"Cephalus- Formalin Flushed, Red/Blue (C7/T1)",11,4,8,12,0,0,
CEPH12,Cephalus- Other Special Preparation (C7/T1),11,4,8,12,0,0,
CEPH13,Cephalus- Brain Removed (C7/T1),7,4,10,12,0,0,
CIRC01,Aorta,2,6,14,25,0,0,
CIRC02,Blood,1,17,25,35,0,0,
CIRC02T2,Blood Tier 2 (30-49mL),1,17,25,35,0,0,
CIRC04,Heart,5,4,10,15,0,0,
CIRC11,Vessel Other,2,6,14,25,0,0,
CONN01,Skin full thickness,1,17,25,35,0,0,
CONN02,Skin dermatomed,1,17,25,35,0,0,
CONN03,Fingernail,1,17,25,35,0,0,
CONN04,Muscle,1,17,25,35,0,0,
CONN05,Fat,5,4,10,15,0,0,
CONN06,Scalp,5,4,10,15,0,0,
CONN07,Toenail,2,6,14,25,0,0,
DIGE01,Liver,2,6,14,25,0,0,
DIGE02,Gall Bladder,2,6,14,25,0,0,
DIGE03,Stomach,5,4,10,15,0,0,
DIGE04,Intestine,2,6,14,25,0,0,
DIGE05,Bile,2,6,14,25,0,0,
DISPOSABLES01,Disposable PPE per Station per Day,1,50,100,150,0,0,
ENDO02,Thyroid,2,6,14,25,0,0,
ENDO04,Thymus,2,6,14,25,0,0,
ENDO05,Pancreas,2,6,14,25,0,0,
ENDO06,Ovaries,2,6,14,25,0,0,
ENDO07,Testes,2,6,14,25,0,0,
