Zipcode,City,State,Zone,Country,Airport,Airport Name,Airport Zip Code,Airport Country
81301,Durango,CO,7,United States,ABQ,ALBUQUERQUE,87119,United States
87001,SAN FELIPE PB,NM,7,United States,ABQ,ALBUQUERQUE,87119,United States
87002,BELEN,NM,7,United States,ABQ,ALBUQUERQUE,87119,United States
87004,BERNALILLO,NM,7,United States,ABQ,ALBUQUERQUE,87119,United States
87008,CEDAR CREST,NM,7,United States,ABQ,ALBUQUERQUE,87119,United States
87015,EDGEWOOD,NM,7,United States,ABQ,ALBUQUERQUE,87119,United States
87020,GRANTS,NM,7,United States,ABQ,ALBUQUERQUE,87119,United States
87022,ISLETA,NM,7,United States,ABQ,ALBUQUERQUE,87119,United States
87031,LOS LUNAS,NM,7,United States,ABQ,ALBUQUERQUE,87119,United States
87035,MORIARTY,NM,7,United States,ABQ,ALBUQUERQUE,87119,United States
87042,PERALTA,NM,7,United States,ABQ,ALBUQUERQUE,87119,United States
87047,SANDIA PARK,NM,7,United States,ABQ,ALBUQUERQUE,87119,United States
87048,CORRALES,NM,7,United States,ABQ,ALBUQUERQUE,87119,United States
87068,PERALTA,NM,7,United States,ABQ,ALBUQUERQUE,87119,United States
87100,ALBUQUERQUE,NM,7,United States,ABQ,ALBUQUERQUE,87119,United States
87101,ALBUQUERQUE,NM,7,United States,ABQ,ALBUQUERQUE,87119,United States
87102,ALBUQUERQUE,NM,7,United States,ABQ,ALBUQUERQUE,87119,United States
87103,ALBUQUERQUE,NM,7,United States,ABQ,ALBUQUERQUE,87119,United States
87104,ALBUQUERQUE,NM,7,United States,ABQ,ALBUQUERQUE,87119,United States
87105,ALBUQUERQUE,NM,7,United States,ABQ,ALBUQUERQUE,87119,United States
87106,ALBUQUERQUE,NM,7,United States,ABQ,ALBUQUERQUE,87119,United States
87107,ALBUQUERQUE,NM,7,United States,ABQ,ALBUQUERQUE,87119,United States
87108,ALBUQUERQUE,NM,7,United States,ABQ,ALBUQUERQUE,87119,United States
87109,ALBUQUERQUE,NM,7,United States,ABQ,ALBUQUERQUE,87119,United States
87110,ALBUQUERQUE,NM,7,United States,ABQ,ALBUQUERQUE,87119,United States
87111,ALBUQUERQUE,NM,7,United States,ABQ,ALBUQUERQUE,87119,United States
87112,ALBUQUERQUE,NM,7,United States,ABQ,ALBUQUERQUE,87119,United States
87113,ALBUQUERQUE,NM,7,United States,ABQ,ALBUQUERQUE,87119,United States
87114,ALBUQUERQUE,NM,7,United States,ABQ,ALBUQUERQUE,87119,United States
87115,KIRTLAND A F B EAST,NM,7,United States,ABQ,ALBUQUERQUE,87119,United States
87116,ALBUQUERQUE,NM,7,United States,ABQ,ALBUQUERQUE,87119,United States
87117,KIRTLAND AFB,NM,7,United States,ABQ,ALBUQUERQUE,87119,United States
87118,ALBUQUERQUE,NM,7,United States,ABQ,ALBUQUERQUE,87119,United States
87119,ALBUQUERQUE,NM,7,United States,ABQ,ALBUQUERQUE,87119,United States
87120,ALBUQUERQUE,NM,7,United States,ABQ,ALBUQUERQUE,87119,United States
87121,ALBUQUERQUE,NM,7,United States,ABQ,ALBUQUERQUE,87119,United States
87122,ALBUQUERQUE,NM,7,United States,ABQ,ALBUQUERQUE,87119,United States
87123,ALBUQUERQUE,NM,7,United States,ABQ,ALBUQUERQUE,87119,United States
87124,RIO RANCHO,NM,7,United States,ABQ,ALBUQUERQUE,87119,United States
87125,ALBUQUERQUE,NM,7,United States,ABQ,ALBUQUERQUE,87119,United States
87131,UNIV OF NEW MEXICO,NM,7,United States,ABQ,ALBUQUERQUE,87119,United States
87140,ALBUQUERQUE,NM,7,United States,ABQ,ALBUQUERQUE,87119,United States
87153,ALBUQUERQUE,NM,7,United States,ABQ,ALBUQUERQUE,87119,United States
87154,ALBUQUERQUE,NM,7,United States,ABQ,ALBUQUERQUE,87119,United States
